LENGTH,TIME-TAKEN
0,0.16798794269561768,
5000,152.65003192424774,
10000,57.828693985939026,
15000,122.01754200458527,
20000,213.61774599552155,
25000,333.34655797481537,
30000,484.185574054718,
35000,649.7151899337769,
40000,852.8152309656143,
45000,1077.0702319145203,
50000,1319.9632771015167,
55000,1596.9765540361404,
60000,1897.6430810689926,
65000,2234.8104898929596,
70000,2637.2190630435944,
75000,3019.605996966362,
80000,3409.8590639829636,
85000,3846.38030898571,
90000,4296.918663978577,
95000,4780.140580058098,
