LENGTH,TIME-TAKEN
0,0.000843048095703125,
5000,0.22697699069976807,
10000,0.33392107486724854,
15000,0.49862396717071533,
20000,0.7206209897994995,
25000,0.9289660453796387,
30000,1.0497928857803345,
35000,1.3878170251846313,
40000,1.4912689924240112,
45000,1.5690540075302124,
50000,1.6969189643859863,
55000,2.7212460041046143,
60000,2.477763056755066,
65000,2.6826120615005493,
70000,2.8084369897842407,
75000,2.915963053703308,
80000,3.710178017616272,
85000,3.886880040168762,
90000,3.972482919692993,
95000,4.105268955230713,
100000,4.479984998703003,
105000,4.653232097625732,
110000,4.468987941741943,
115000,5.334712028503418,
120000,5.488831996917725,
125000,5.530569076538086,
130000,5.52659010887146,
135000,5.769937038421631,
140000,5.801436066627502,
145000,6.429512023925781,
150000,6.466271996498108,
155000,6.656167984008789,
160000,6.682556986808777,
165000,6.734489917755127,
170000,7.041136980056763,
175000,8.457213997840881,
180000,8.418004035949707,
185000,8.538092017173767,
190000,8.43065094947815,
195000,8.743292927742004,
200000,8.803138017654419,
205000,8.734369993209839,
210000,9.412840008735657,
215000,9.556900978088379,
220000,9.068181991577148,
225000,9.653841018676758,
230000,9.73031997680664,
235000,9.666332960128784,
240000,9.92382001876831,
245000,9.802241086959839,
250000,10.381345987319946,
255000,10.933031916618347,
260000,12.429670929908752,
265000,12.89577603340149,
270000,13.339251041412354,
275000,13.187430024147034,
280000,12.711228013038635,
285000,13.40568494796753,
290000,13.237743973731995,
295000,14.062119007110596,
300000,14.575466990470886,
305000,13.62060296535492,
310000,14.399671912193298,
315000,13.857018947601318,
320000,15.061296939849854,
325000,14.043669939041138,
330000,14.444507956504822,
335000,15.152326941490173,
340000,14.55334997177124,
345000,15.062878966331482,
350000,14.934569001197815,
355000,14.99123203754425,
360000,15.596804976463318,
365000,15.759404063224792,
370000,16.30966806411743,
375000,16.246706008911133,
380000,15.691606044769287,
385000,16.010172963142395,
390000,20.07923996448517,
395000,20.272395968437195,
400000,19.21336603164673,
405000,19.728471040725708,
410000,21.11611306667328,
415000,21.171532034873962,
420000,20.330464005470276,
425000,21.034754991531372,
430000,21.853582978248596,
435000,21.066686034202576,
440000,21.09604001045227,
445000,21.023738980293274,
450000,21.846984028816223,
455000,20.819880962371826,
460000,21.447404980659485,
465000,21.59942090511322,
470000,21.318884015083313,
475000,21.913333892822266,
480000,22.74317705631256,
485000,21.946044087409973,
490000,23.141908049583435,
495000,22.80082893371582,
500000,22.6889009475708,
505000,22.99438500404358,
510000,23.89298701286316,
515000,23.57794499397278,
520000,22.56061100959778,
525000,23.236055970191956,
530000,23.76156795024872,
535000,23.176071047782898,
540000,25.114240050315857,
545000,23.840118050575256,
550000,24.774276971817017,
555000,23.71398401260376,
560000,24.018473982810974,
565000,24.50813591480255,
570000,23.85803997516632,
575000,25.167880058288574,
580000,30.26167893409729,
585000,29.86746108531952,
590000,30.752763032913208,
595000,30.18989896774292,
600000,31.16617703437805,
605000,30.56608498096466,
610000,30.87131702899933,
615000,31.42361092567444,
620000,31.56622803211212,
625000,31.290922045707703,
630000,32.0201119184494,
635000,31.328336000442505,
640000,32.10149097442627,
645000,32.401150941848755,
650000,32.15524101257324,
655000,32.74972999095917,
660000,33.11418604850769,
665000,32.85267794132233,
670000,32.83689510822296,
675000,32.16427505016327,
680000,33.1152800321579,
685000,32.53034591674805,
690000,33.70417296886444,
695000,32.85574805736542,
700000,33.56226909160614,
705000,33.65824103355408,
710000,33.74747109413147,
715000,33.98885095119476,
720000,34.02316200733185,
725000,34.027125000953674,
730000,33.918432116508484,
735000,35.154317021369934,
740000,34.36364793777466,
745000,34.84359896183014,
750000,34.58750092983246,
755000,35.05255401134491,
760000,35.0024139881134,
765000,34.8559330701828,
770000,35.115018010139465,
775000,35.309414982795715,
780000,35.688912987709045,
785000,35.96404194831848,
790000,35.53864300251007,
795000,35.42259407043457,
800000,35.89001703262329,
805000,36.46310901641846,
810000,36.47220706939697,
815000,36.13428604602814,
820000,36.15510106086731,
825000,37.247347950935364,
830000,37.149550914764404,
835000,36.59858000278473,
840000,36.92633605003357,
845000,36.95920395851135,
850000,36.98453402519226,
855000,37.58683800697327,
860000,37.1429660320282,
865000,37.43818008899689,
870000,45.69136297702789,
875000,45.591710925102234,
880000,45.0616170167923,
885000,45.67004406452179,
890000,45.17038691043854,
895000,46.90279698371887,
900000,46.08043992519379,
905000,47.146044969558716,
910000,46.88259291648865,
915000,46.83809292316437,
920000,46.58176100254059,
925000,47.09681594371796,
930000,47.518957018852234,
935000,46.68791890144348,
940000,47.08846998214722,
945000,46.99875092506409,
950000,47.094935059547424,
955000,48.101670026779175,
960000,47.91139602661133,
965000,48.18563199043274,
970000,47.92745399475098,
975000,48.1414999961853,
980000,47.807433009147644,
985000,48.354251980781555,
990000,48.49109601974487,
995000,48.400126934051514,
